id_transaccion,fecha_venta,id_cliente,id_producto,cantidad,descuento_aplicado,visitas_previas,canales_venta,devolucion,satisfaccion,nombre,apellido,genero_cliente,edad_cliente,correo_cliente,region,marca,precio_unitario,nombre_producto,categoria_producto,ingreso_venta,monto_devolucion
123,2025-01-04,CLTE_17,1003,5,0.0,1,Página Web,0,5,Ariel,Díaz,Femenino,49.0,cliente_17@gmail.com,Antofagasta,Marca C,703354.0,Notebook,Tecnología,3516770.0,0.0
124,2025-08-26,CLTE_9,1014,5,0.0,8,App,0,5,Andrea,Díaz,F,,,Valparaíso,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,4703660.0,0.0
125,2025-01-22,CLTE_33,1001,2,0.2,2,App,0,4,Thiago,López,M,45.0,cliente_33@gmail.com,Biobío,Marca B,196820.0,Parlante,Tecnología,314912.0,0.0
126,2025-10-15,CLTE_20,1014,4,0.3,8,Web,0,4,Benjamín,Rodríguez,M,39.0,cliente_20@gmail.com,RM,Marca A,940732.0,Lavadora-Secadora,ElectroHogar,2634050.0,0.0
127,2025-04-05,CLTE_13,1007,1,0.1,3,Web,0,5,Facundo,Muñoz,Femenino,60.0,cliente_13@gmail.com,Los Lagos,Marca B,888892.0,Consola,Tecnología,800003.0,0.0
128,2025-06-10,CLTE_28,1007,1,0.0,6,Web,0,4,Lucas,Araya,Masculino,61.0,cliente_28@gmail.com,Biobío,Marca B,888892.0,Consola,Tecnología,888892.0,0.0
129,2025-08-08,CLTE_48,1016,3,0.0,3,App,0,4,Ariel,Flores,Femenino,54.0,cliente_48@gmail.com,RM,Marca B,291082.0,Freidora,ElectroHogar,873246.0,0.0
130,2025-01-20,CLTE_29,1011,5,0.0,7,Web,0,5,Santiago,Palacios,F,61.0,cliente_29@gmail.com,Región Metropolitana,Marca D,672298.0,Lavavajillas,ElectroHogar,3361490.0,0.0
131,2025-11-02,CLTE_13,1018,1,0.3,10,Página Web,0,3,Facundo,Muñoz,Femenino,60.0,cliente_13@gmail.com,Los Lagos,Marca A,490758.0,Aire Acondicionado Portatil,ElectroHogar,343531.0,0.0
132,2025-05-22,CLTE_46,1009,5,0.1,9,Página Web,0,4,Vicente,Silva,M,44.0,cliente_46@gmail.com,RM,Marca A,936279.0,Lente inteligente,Tecnología,4213256.0,0.0
